Year,Population
1990,870452165
2000,1059633675
2014,1307246509
2015,1322866505
2016,1338636340
2017,1354195680
2018,1369003306
2019,1383112050
2020,1396387127
2021,1407563842
2022,1417173173
2023,1428627663
